project_type,structure_type,region,base_cny_per_sqm,base_year,source_notes
office,brick_concrete,first_tier,4320,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,brick_concrete,provincial,3780,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,brick_concrete,third_fourth,3312,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,brick_concrete,county,3060,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,frame,first_tier,4968,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,frame,provincial,4347,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,frame,third_fourth,3809,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,frame,county,3519,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,frame_shear,first_tier,5400,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,frame_shear,provincial,4725,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,frame_shear,third_fourth,4140,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,frame_shear,county,3825,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,steel,first_tier,6048,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,steel,provincial,5292,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,steel,third_fourth,4637,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,steel,county,4284,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,prefab,first_tier,5616,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,prefab,provincial,4914,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,prefab,third_fourth,4306,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
office,prefab,county,3978,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,brick_concrete,first_tier,3960,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,brick_concrete,provincial,3465,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,brick_concrete,third_fourth,3036,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,brick_concrete,county,2805,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,frame,first_tier,4554,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,frame,provincial,3985,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,frame,third_fourth,3491,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,frame,county,3226,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,frame_shear,first_tier,4950,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,frame_shear,provincial,4331,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,frame_shear,third_fourth,3795,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,frame_shear,county,3506,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,steel,first_tier,5544,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,steel,provincial,4851,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,steel,third_fourth,4250,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,steel,county,3927,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,prefab,first_tier,5148,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,prefab,provincial,4504,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,prefab,third_fourth,3947,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
residential,prefab,county,3646,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,brick_concrete,first_tier,5880,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,brick_concrete,provincial,5145,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,brick_concrete,third_fourth,4508,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,brick_concrete,county,4165,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,frame,first_tier,6762,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,frame,provincial,5917,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,frame,third_fourth,5184,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,frame,county,4790,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,frame_shear,first_tier,7350,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,frame_shear,provincial,6431,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,frame_shear,third_fourth,5635,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,frame_shear,county,5206,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,steel,first_tier,8232,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,steel,provincial,7203,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,steel,third_fourth,6311,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,steel,county,5831,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,prefab,first_tier,7644,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,prefab,provincial,6688,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,prefab,third_fourth,5860,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hotel,prefab,county,5414,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,brick_concrete,first_tier,6240,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,brick_concrete,provincial,5460,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,brick_concrete,third_fourth,4784,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,brick_concrete,county,4420,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,frame,first_tier,7176,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,frame,provincial,6279,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,frame,third_fourth,5502,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,frame,county,5083,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,frame_shear,first_tier,7800,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,frame_shear,provincial,6825,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,frame_shear,third_fourth,5980,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,frame_shear,county,5525,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,steel,first_tier,8736,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,steel,provincial,7644,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,steel,third_fourth,6698,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,steel,county,6188,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,prefab,first_tier,8112,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,prefab,provincial,7098,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,prefab,third_fourth,6219,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
hospital,prefab,county,5746,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,brick_concrete,first_tier,8640,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,brick_concrete,provincial,7560,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,brick_concrete,third_fourth,6624,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,brick_concrete,county,6120,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,frame,first_tier,9936,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,frame,provincial,8694,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,frame,third_fourth,7618,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,frame,county,7038,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,frame_shear,first_tier,10800,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,frame_shear,provincial,9450,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,frame_shear,third_fourth,8280,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,frame_shear,county,7650,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,steel,first_tier,12096,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,steel,provincial,10584,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,steel,third_fourth,9274,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,steel,county,8568,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,prefab,first_tier,11232,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,prefab,provincial,9828,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,prefab,third_fourth,8611,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
dc,prefab,county,7956,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,brick_concrete,first_tier,3720,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,brick_concrete,provincial,3255,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,brick_concrete,third_fourth,2852,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,brick_concrete,county,2635,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,frame,first_tier,4278,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,frame,provincial,3743,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,frame,third_fourth,3280,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,frame,county,3030,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,frame_shear,first_tier,4650,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,frame_shear,provincial,4069,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,frame_shear,third_fourth,3565,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,frame_shear,county,3294,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,steel,first_tier,5208,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,steel,provincial,4557,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,steel,third_fourth,3993,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,steel,county,3689,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,prefab,first_tier,4836,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,prefab,provincial,4232,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,prefab,third_fourth,3708,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
school,prefab,county,3426,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,brick_concrete,first_tier,2760,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,brick_concrete,provincial,2415,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,brick_concrete,third_fourth,2116,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,brick_concrete,county,1955,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,frame,first_tier,3174,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,frame,provincial,2777,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,frame,third_fourth,2433,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,frame,county,2248,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,frame_shear,first_tier,3450,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,frame_shear,provincial,3019,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,frame_shear,third_fourth,2645,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,frame_shear,county,2444,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,steel,first_tier,3864,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,steel,provincial,3381,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,steel,third_fourth,2962,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,steel,county,2737,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,prefab,first_tier,3588,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,prefab,provincial,3140,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,prefab,third_fourth,2751,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
warehouse,prefab,county,2542,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,brick_concrete,first_tier,5160,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,brick_concrete,provincial,4515,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,brick_concrete,third_fourth,3956,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,brick_concrete,county,3655,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,frame,first_tier,5934,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,frame,provincial,5192,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,frame,third_fourth,4549,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,frame,county,4203,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,frame_shear,first_tier,6450,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,frame_shear,provincial,5644,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,frame_shear,third_fourth,4945,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,frame_shear,county,4569,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,steel,first_tier,7224,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,steel,provincial,6321,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,steel,third_fourth,5538,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,steel,county,5117,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,prefab,first_tier,6708,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,prefab,provincial,5870,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,prefab,third_fourth,5143,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
mall,prefab,county,4752,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,brick_concrete,first_tier,2880,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,brick_concrete,provincial,2520,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,brick_concrete,third_fourth,2208,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,brick_concrete,county,2040,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,frame,first_tier,3312,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,frame,provincial,2898,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,frame,third_fourth,2539,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,frame,county,2346,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,frame_shear,first_tier,3600,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,frame_shear,provincial,3150,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,frame_shear,third_fourth,2760,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,frame_shear,county,2550,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,steel,first_tier,4032,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,steel,provincial,3528,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,steel,third_fourth,3091,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,steel,county,2856,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,prefab,first_tier,3744,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,prefab,provincial,3276,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,prefab,third_fourth,2870,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
parking,prefab,county,2652,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,brick_concrete,first_tier,3000,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,brick_concrete,provincial,2625,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,brick_concrete,third_fourth,2300,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,brick_concrete,county,2125,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,frame,first_tier,3450,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,frame,provincial,3019,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,frame,third_fourth,2645,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,frame,county,2444,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,frame_shear,first_tier,3750,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,frame_shear,provincial,3281,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,frame_shear,third_fourth,2875,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,frame_shear,county,2656,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,steel,first_tier,4200,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,steel,provincial,3675,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,steel,third_fourth,3220,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,steel,county,2975,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,prefab,first_tier,3900,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,prefab,provincial,3412,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,prefab,third_fourth,2990,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
logistics,prefab,county,2762,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,brick_concrete,first_tier,3360,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,brick_concrete,provincial,2940,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,brick_concrete,third_fourth,2576,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,brick_concrete,county,2380,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,frame,first_tier,3864,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,frame,provincial,3381,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,frame,third_fourth,2962,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,frame,county,2737,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,frame_shear,first_tier,4200,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,frame_shear,provincial,3675,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,frame_shear,third_fourth,3220,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,frame_shear,county,2975,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,steel,first_tier,4704,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,steel,provincial,4116,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,steel,third_fourth,3606,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,steel,county,3332,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,prefab,first_tier,4368,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,prefab,provincial,3822,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,prefab,third_fourth,3349,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
municipal,prefab,county,3094,2026,synthetic baseline from public quota ranges and estimator experience; no commercial dataset copied
