project_type,structure_type,work_item,unit,coefficient,source_notes
factory,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
residential,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
residential,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
residential,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
residential,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
residential,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
residential,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
residential,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
residential,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
residential,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
residential,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
residential,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
residential,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
residential,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
residential,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
residential,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
residential,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
residential,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
residential,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
residential,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
residential,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
residential,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
residential,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
residential,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
residential,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
residential,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
residential,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
residential,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hotel,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hotel,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hotel,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hotel,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hotel,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hospital,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hospital,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hospital,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hospital,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
hospital,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
dc,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
